section,type,number,question,options,diagrams,solution,answer
objective,mcq,1,The energy transformation that takes place in a solar cell is,"{'A': 'light to chemical', 'B': 'light to electrical', 'C': 'electrical to heat', 'D': 'electrical to light'}",,Light energy is converted into electrical energy.,B
objective,mcq,2,All flowering plants end their life cycle with,"{'A': 'seed formation', 'B': 'seed development', 'C': 'seed dispersal', 'D': 'seed germination'}",,"A flowering plant is simply a plant that produces flowers, and these flowers turn into fruits. Flowering plants go through several stages: Germination, Pollination, Fertilization, and Dispersal. The final stage in a flowering plant life cycle is seed dispersal .",
objective,mcq,3,Soil texture is a term used to describe the,"{'A': 'amount of water soil can hold', 'B': 'arrangement of soil particles in a given soil', 'C': 'properties of soil, silt and clay in a sample of soil', 'D': 'mixture of all soil particles'}",,"Soil texture (such as loam, sandy loam or clay) refers to the proportion of sand, silt and clay sized particles that make up the mineral fraction of the soil.",
objective,mcq,4,Which of the following processes is an example of a physical change?,"{'A': 'Fermentation of food', 'B': 'Respiration', 'C': 'Magnetization of iron', 'D': 'Lighting a match'}",,"Physical changes: The substance involved in a physical change is structurally identical before and after the change. Texture, shape, temperature, and a change in the state of matter are examples of physical changes. Magnetization of iron is a physical change as it is a temporary change.",
objective,mcq,5,An example of a storage pest is,"{'A': 'yam beetle', 'B': 'capsid', 'C': 'army worm', 'D': 'weevil'}",,"A storage pest is an insect or other animal that damages or destroys stored food or other stored valuable organic matter. Grain borers, weevils and Angoumois grain moths are able to feed on whole, healthy grains, they are considered storage pests",
objective,mcq,6,The solid component found on the filter paper and the liquid component that flows into a container during filtration are respectively called,"{'A': 'filtrate and residue', 'B': 'condensate and residue', 'C': 'residue and filtrate', 'D': 'residue and condensate'}",,"The solid that remains on the filter paper is called the residue , and the liquid that passes through the filter paper is called the filtrate",
objective,mcq,7,"A capacitor is connected in a series circuit with LED, a battery and a switch. When the circuit is closed, the LED","{'A': 'comes on and stays on', 'B': 'flashes and goes off', 'C': 'does not come on', 'D': 'flashes and stays on'}",,"The bulb will light up for an instant when the capacitor starts charging. Initially when key is closed, the capacitor acts as short-circuit, so bulb will light up. But finally the capacitor becomes fully charged, so it will act as open circuit, so bulb will not glow.",
objective,mcq,8,The ion that causes hardness in water is,"{'A': 'CO32- ', 'B': 'Mg2+', 'C': 'Na+', 'D': 'OH-'}",,Calcium (Ca2+) and magnesium (Mg2+) are the causes the hardness of water.,
objective,mcq,9,Which of the following substances are matter? I. Hydrogen II. Air III. Stone,"{'A': 'I and II only', 'B': 'I and III only', 'C': 'II and III only', 'D': 'I, II and III'}",,"Matter is Anything that can be weighed and takes up space. Therefore, the matter has both mass and volume. The cosmos is made up of a wide variety of substances and forms of stuff. Physical properties like color or mass. Chemical properties like how one form of matter interacts with another type of matter, are used by chemists to define matter. All the above has mass (weight) and can occupy space.",
objective,mcq,10,The main reason for staking tomato is to ensure,"{'A': 'bigger fruit development', 'B': 'air circulation on the farm', 'C': 'upright growth of the plant', 'D': 'that fruits do not get rotten'}",,"Staking tomatoes provides support to help keep plants off the ground while assisting in their upward growth habit. Because many diseases and insects start at the ground level, using a structured system to keep them away from ground contact is prudent. Staking can also be used to prevent the fruit from beginning to rot as it sits on the ground as the stalk grows overtime.",
objective,mcq,11,Which of the following statements about clayey soil is not true? It,"{'A': 'swells when dry and shrinks when wet', 'B': 'has high water retention', 'C': 'is difficult to plough when dry', 'D': 'is compact when dry'}",,Clayey soil rather swells when wet and shrinks when dry,
objective,mcq,12,It is not advisable to use old electrical gadgets because they,"{'A': 'are not efficient', 'B': 'are dangerous', 'C': 'produce sparks', 'D': 'waste energy'}",,Old devices use much more energy than new models,
objective,mcq,13,Which of the following planets are closer to the sun than the Earth?,"{'A': 'Venus and Mars', 'B': 'Venus and Mercury', 'C': 'Mercury and Mars', 'D': 'Venus and Saturn'}",https://kuulchat.com/qns/planets%20closer%20to%20the%20sun.jpg,"Venus and Mercury are more closer to the sun, Mars & Saturn are far away from the sun but more closer to the Earth",
objective,mcq,14,Which of the following statements about pressure in liquids is/are correct ? I. Pressure in liquids at the same level acts equally in all directions. II. Pressure in liquids depend on the area of the liquid. III. Pressure in liquids decreases with depth.,"{'A': 'I only', 'B': 'II only', 'C': 'I and III only', 'D': 'I, II and III'}",,Pascal's law states that pressure in liquids is transmitted equally in all directions. Pressure in liquids does not depend on the surface area. The pressure exerted by a liquid increases with depth.,
objective,mcq,15,Soil depletion is not caused by,"{'A': 'erosion', 'B': 'afforestation', 'C': 'leaching', 'D': 'illegal mining'}",,"Afforestation is the process of introducing trees and tree seedlings to an area that has previously not been forested. Afforestation can be done through tree planting and seeding, naturally or artificially.",
objective,mcq,16,What force makes a ripe mango fall from a tree?,"{'A': 'Force of tension', 'B': 'Magnetic force', 'C': 'Electrostatic force', 'D': 'Gravitational force'}",,Gravitational force The force due to which any matter is attracted towards the centre of the Earth is known as the force of gravity . The mango fell due to the force of gravity of Earth.,
objective,mcq,17,Urea is a good source of,"{'A': 'phosphorus in the soil', 'B': 'calcium in the soil', 'C': 'sodium in the soil', 'D': 'nitrogen in the soil'}",,Urea and fertilizers containing urea are excellent sources of nitrogen for crop production.,
objective,mcq,18,Which of the following statements are reasons for conserving energy? I. Insufficient production of energy II. Increasing demand of energy III. Limiting production of carbon (IV) oxide,"{'A': 'I and II only', 'B': 'I and III only', 'C': 'II and III only', 'D': 'I, II and III'}",,NOTE: One must still conserve energy even when demand of energy is not high. Conversation will ensure that the resources used for the generation of the energy is reserved for future generations,
objective,mcq,19,A force meter measures,"{'A': 'mass', 'B': 'temperature', 'C': 'weight', 'D': 'work'}",https://kuulchat.com/qns/force%20meter.jpg,Force meter measures force/weight of an object,
objective,mcq,20,Which of the following bodies are natural sources of light? I. Moon II. Sun III. Glow Worm,"{'A': 'I and II only', 'B': 'I and III only', 'C': 'II and III only', 'D': 'I, II and III'}",,"A natural source of light is light that occurs naturally without the involvement of humans. Natural sources of light can come from either an object or a living species. Examples include the Sun , stars, lightning, jellyfish, fireflies, glowworms , angler fish, etc. Note The moon is not a natural source of light in the sense that it doesn't produce its own light. The light we see from the moon is actually sunlight reflected off its surface. The moon is a non-luminous object, meaning it doesn't emit light, and only reflects the light it receives from other sources, primarily the sun.",
objective,mcq,21,Which of the following characteristics is/are of the image formed in a pinhole camera? The image is I. inverted. II. virtual. III. diminished.,"{'A': 'I only', 'B': 'II and III only', 'C': 'I and III only', 'D': 'I, II and III'}",https://kuulchat.com/qns/image%20of%20a%20pinhole%20camera.png,Characteristics of image formed in a pinhole camera (i) The image formed is real because it is visible on the screen (ii) It is inverted (iii) It is generally smaller/diminished than the size of the object,
objective,mcq,22,The floor of a room has length 20 m and breadth 15 m. Determine the area of the floor.,"{'A': '35 m 2', 'B': '200 m 2', 'C': '250 m 2', 'D': '300 m 2'}",,Area of a rectangle = Length x Breadth Area of the floor = 20 m x 15 m = 300 m 2,
objective,mcq,23,Rainfall is a result of,"{'A': 'low pressure', 'B': 'strong wind', 'C': 'cold wind', 'D': 'low humidity'}",,"When the pressure is low, the air is free to rise into the atmosphere where it cools and condenses. This condensation forms clouds made of water droplets and ice crystals around dust particles in the sky. Eventually the water vapor in the clouds condenses and falls as rain.",
objective,mcq,24,An example of a first class lever is,"{'A': 'bottle opener', 'B': 'crow bar', 'C': 'wheel barrow', 'D': 'fishing rod'}",https://kuulchat.com/qns/first%20class%20lever.png,"First Class Lever A first-class lever has the fulcrum/pivot in the middle and the load and effort on each side of the fulcrum. Examples of a first class lever Pliers, scissors, a crow bar, a claw hammer, a see-saw and a weighing balance. Second Class Lever In second class levers the load is between the effort (force) and the fulcrum. A common example is a wheelbarrow where the effort moves a large distance to lift a heavy load, with the axle and wheel as the fulcrum. Nutcrackers are also an example of a second class lever. Third Class Lever With third class levers the effort is between the load and the fulcrum, for example in barbecue tongs. Other examples of third class levers are a broom, a fishing rod, etc.",
objective,mcq,25,Green plants have the ability to make their own food hence they are known as,"{'A': 'producers', 'B': 'parasites', 'C': 'consumers', 'D': 'decomposers'}",,Green plants are called producers because they can prepare their own food by a process called photosynthesis.,
objective,mcq,26,The periodic table is an arrangement of elements according to increasing,"{'A': 'atomic number', 'B': 'mass number', 'C': 'nucleon number', 'D': 'neutron number'}",,"In periodic table, the elements are listed in order of increasing atomic number . The atomic number is the number of protons in the nucleus of an atom.",
objective,mcq,27,The number required to make the following chemical equation balanced is: H2+0 2 → H 2 O,"{'A': '1 ⁄ 2 ', 'B': '1', 'C': '1 ⁄ 3 ', 'D': '3'}",,Placing 1 ⁄ 2 in front of O 2 balances oxygen (making it 1 as it is at the right side of the equation).,
objective,mcq,28,"The ovary, style and stigma are collectively known as the","{'A': 'stamen', 'B': 'pistil', 'C': 'fruit', 'D': 'stem'}",https://kuulchat.com/qns/parts%20of%20flower.jpg,,
objective,mcq,29,A mixture of alcohol and water can best be separated by,"{'A': 'filtration', 'B': 'condensation', 'C': 'distillation', 'D': 'evaporation'}",https://kuulchat.com/qns/distillation.png,Distillation is the process of separating the components of a liquid mixture through selective evaporation and condensation. The basis of separation is the difference in the vapor pressures (volatilities) of the respective components.,
objective,mcq,30,"An atom 23 11 X forms bond by losing one electron, the charge on the ion formed is","{'A': '1', 'B': '2', 'C': '+1', 'D': '+2'}",,"When an atom loses an electron it has positive charge (Cation) and gain negative charge (Anion) Since the atomic number is 11, the atom in question is Sodium (Na). Sodium has +1 charge (Na+1 = Na+) when it loses an electron during the bond.",
objective,mcq,31,The hard outer surface of a tooth is called,"{'A': 'root', 'B': 'dentine', 'C': 'cement', 'D': 'enamel'}",https://kuulchat.com/qns/parts%20of%20the%20tooth.jpg,"Root The root is the part of the tooth that extends into the bone and holds the tooth in place. It makes up approximately two-thirds of the tooth. Enamel The enamel is the outermost layer of a tooth. As the hardest tissue in your body, it helps to protect teeth from bacteria. It also provides strength so your teeth can withstand pressure from chewing. Dentin Dentin is a layer of mineralized tissue just below the enamel. It extends from the crown down through the neck and root. It protects teeth from heat and cold.",
objective,mcq,32,People who travel in space are called,"{'A': 'geologists', 'B': 'astronauts', 'C': 'space shuttlers', 'D': 'astronomist'}",,"Geologist : scientist who study the Earth: its history, nature, materials and processes. Astronaut : a person who has been trained for travelling in space",
objective,mcq,33,The practice of growing cowpea and maize on a piece of land at the same time is known as,"{'A': 'mixed farming', 'B': 'mixed cropping', 'C': 'land rotation', 'D': 'crop rotation'}",,"Mixed Cropping When two or more crops are grown on the same land simultaneously (at the same time), it is known as mixed cropping Mixed Farming Growing crops as well as livestock , animal husbandry,etc all on same farm or land. Crop Rotation The practice of planting different crops across a sequence of growing seasons on the same plot of land to improve soil health, optimize nutrients in the soil, and combat pest and weed pressure.",
objective,mcq,34,A lunar eclipse may occur when the,"{'A': 'moon is between the earth and the sun', 'B': 'sun is between the earth and the moon', 'C': 'earth is between the sun and the moon', 'D': 'moon is positioned far away from the earth'}","https://kuulchat.com/qns/solar%20eclipse.jpg,https://kuulchat.com/qns/lunar%20eclipse.jpg","Eclipse The earth, along with the other planets, revolves around the sun in its orbit. In turn, the moon revolves around the earth in the moon’s orbit. There comes a time when the three heavenly bodies get aligned in the same straight line. This is when an eclipse occurs. It is defined as an astronomical phenomenon that occurs when one spatial object comes within the shadow of another spatial object. This obstructs the observer from seeing one of them in space. On earth, we witness two types of eclipses: solar and lunar. Solar Eclipse Also known as the eclipse of the sun , it occurs when the moon comes in between the sun and the earth. As a result, the moon blocks the light of the sun from reaching the earth's surface and casts a shadow on it. This occurs in a new moon phase. Lunar Eclipse Also known as the eclipse of the moon, it occurs when the earth comes in between the sun and the moon. As a result, the earth blocks the light of the sun from reaching the moon’s surface and casts its shadow on the moon. It occurs on a full moon day.",
objective,mcq,35,Which of the following instruments can be used to measure the diameter of a circle?,"{'A': 'A metre-rule', 'B': 'A thermometer', 'C': 'An ammeter', 'D': 'A string'}",,"Metre-rule is used to measure length. Diameter of a circle is a length. Thermometer is used to measure temperature Ammeter is used for measuring either direct (DC) or alternating (AC) electric current, in amperes.",
objective,mcq,36,When gases are heated they,"{'A': 'melt', 'B': 'sublime', 'C': 'decrease in volume', 'D': 'decrease in intermolecular forces'}",,"When a particle is heated The intermolecular forces are the attractions between the molecules when temperature increases it develops more distance between molecules and because of this attraction decreases, resulting intermolecular force decreases. Intermolecular forces decreases on heating as the particles gain energy and start vibrating. The intermolecular space between particles increases and they overcome the intermolecular forces. Hence, the intermolecular forces decrease on heating because kinetic energy increases and space between particles increases.",
objective,mcq,37,The shoot system of a flowering plant develops from the,"{'A': 'radicle', 'B': 'plumule', 'C': 'cotyledon', 'D': 'endosperm'}",,A shoot or seedling originates from the plumule of the seed’s embryo.,
objective,mcq,38,The diagram below is an illustration of a transistor. The arrow shows the direction of:,"{'A': 'electron movement', 'B': 'hole movement', 'C': 'electron and hole movement', 'D': 'negative charge movement'}",https://kuulchat.com/qns/bece_science_2022_sec_a_q_38.jpg,The arrow in the symbol indicates the direction of flow of conventional current (electron movement),
objective,mcq,39,Digestion of protein begins in the stomach and ends in the,"{'A': 'large intestine', 'B': 'small intestine', 'C': 'appendix', 'D': 'caecum'}",,Mechanical digestion of protein begins in the mouth and continues in the stomach and small intestine . Chemical digestion of protein begins in the stomach and ends in the small intestine .,
objective,mcq,40,Which of the following substances is a compound?,"{'A': 'Copper', 'B': 'Diamond', 'C': 'Sucrose', 'D': 'Sulphur'}",,"Copper and sulphur are elements. Diamond is made up of only carbon elements so can't be classified as a compound because compounds are made up of two or more different elements. Sucrose (C 12 H 22 O 11 ) is simply the chemical name for sugar and is a compound that consists of various elements i.e. carbon, hydrogen, and oxygen that combine chemically in a definite ratio.",
theory,theory,1,,,"https://kuulchat.com/qns/bece_science_2022_sec_b_q_1_1.jpg,https://kuulchat.com/qns/bece_science_2022_sec_b_q_1_2.jpg,https://kuulchat.com/qns/bece_science_2022_sec_b_q_1_3.jpg,https://kuulchat.com/qns/bece_science_2022_sec_b_q_1_4.jpg,https://kuulchat.com/qns/the%20respiratory%20system.jpg",,
theory,theory,2,,,,,
theory,theory,3,,,,,
theory,theory,4,,,,,
theory,theory,5,,,https://kuulchat.com/qns/bece_science_2022_sec_b_q_5.jpg,,
theory,theory,6,,,,,
